date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:34:28	39305/39305	---M-Z	200	added ('OK')	text/html	etag:%229989-5ae3555106a1a;5aff530ca9659-gzip%22	http://logging.apache.org/log4net/release/sdk/html/T_log4net_Appender_FileAppender.htm	d:/My%20Web%20Sites/http___logging.apache.org_log4net_/logging.apache.org/log4net/release/sdk/html/T_log4net_Appender_FileAppender.html	(from http://logging.apache.org/log4net/release/config-examples.html)
11:34:28	26414/26414	---M-Z	200	added ('OK')	text/html	etag:%22672e-5ae35551079ba;5aff530ca9659-gzip%22	http://logging.apache.org/log4net/release/sdk/html/T_log4net_Appender_ForwardingAppender.htm	d:/My%20Web%20Sites/http___logging.apache.org_log4net_/logging.apache.org/log4net/release/sdk/html/T_log4net_Appender_ForwardingAppender.html	(from http://logging.apache.org/log4net/release/config-examples.html)
11:34:28	31590/31590	---M-Z	200	added ('OK')	text/html	etag:%227b66-5ae35551079ba;5aff530ca9659-gzip%22	http://logging.apache.org/log4net/release/sdk/html/T_log4net_Appender_ManagedColoredConsoleAppender.htm	d:/My%20Web%20Sites/http___logging.apache.org_log4net_/logging.apache.org/log4net/release/sdk/html/T_log4net_Appender_ManagedColoredConsoleAppender.html	(from http://logging.apache.org/log4net/release/config-examples.html)
11:34:28	26633/26633	---M-Z	200	added ('OK')	text/html	etag:%226809-5ae35551079ba;5aff530ca9659-gzip%22	http://logging.apache.org/log4net/release/sdk/html/T_log4net_Appender_MemoryAppender.htm	d:/My%20Web%20Sites/http___logging.apache.org_log4net_/logging.apache.org/log4net/release/sdk/html/T_log4net_Appender_MemoryAppender.html	(from http://logging.apache.org/log4net/release/config-examples.html)
11:34:29	30839/30839	---M-Z	200	added ('OK')	text/html	etag:%227877-5ae35551079ba;5aff530ca9659-gzip%22	http://logging.apache.org/log4net/release/sdk/html/T_log4net_Appender_NetSendAppender.htm	d:/My%20Web%20Sites/http___logging.apache.org_log4net_/logging.apache.org/log4net/release/sdk/html/T_log4net_Appender_NetSendAppender.html	(from http://logging.apache.org/log4net/release/config-examples.html)
11:34:29	23962/23962	---M-Z	200	added ('OK')	text/html	etag:%225d9a-5ae35551079ba;5aff530ca9659-gzip%22	http://logging.apache.org/log4net/release/sdk/html/T_log4net_Appender_OutputDebugStringAppender.htm	d:/My%20Web%20Sites/http___logging.apache.org_log4net_/logging.apache.org/log4net/release/sdk/html/T_log4net_Appender_OutputDebugStringAppender.html	(from http://logging.apache.org/log4net/release/config-examples.html)
11:34:29	33635/33635	---M-Z	200	added ('OK')	text/html	etag:%228363-5ae35551079ba;5aff530ca9659-gzip%22	http://logging.apache.org/log4net/release/sdk/html/T_log4net_Appender_RemotingAppender.htm	d:/My%20Web%20Sites/http___logging.apache.org_log4net_/logging.apache.org/log4net/release/sdk/html/T_log4net_Appender_RemotingAppender.html	(from http://logging.apache.org/log4net/release/config-examples.html)
11:34:29	46436/46436	---M-Z	200	added ('OK')	text/html	etag:%22b564-5ae35551079ba;5aff530ca9659-gzip%22	http://logging.apache.org/log4net/release/sdk/html/T_log4net_Appender_RollingFileAppender.htm	d:/My%20Web%20Sites/http___logging.apache.org_log4net_/logging.apache.org/log4net/release/sdk/html/T_log4net_Appender_RollingFileAppender.html	(from http://logging.apache.org/log4net/release/config-examples.html)
11:34:30	36331/36331	---M-Z	200	added ('OK')	text/html	etag:%228deb-5ae35551079ba;5aff530ca9659-gzip%22	http://logging.apache.org/log4net/release/sdk/html/T_log4net_Appender_SmtpAppender.htm	d:/My%20Web%20Sites/http___logging.apache.org_log4net_/logging.apache.org/log4net/release/sdk/html/T_log4net_Appender_SmtpAppender.html	(from http://logging.apache.org/log4net/release/config-examples.html)
11:34:30	32928/32928	---M-Z	200	added ('OK')	text/html	etag:%2280a0-5ae35551079ba;5aff530ca9659-gzip%22	http://logging.apache.org/log4net/release/sdk/html/T_log4net_Appender_SmtpPickupDirAppender.htm	d:/My%20Web%20Sites/http___logging.apache.org_log4net_/logging.apache.org/log4net/release/sdk/html/T_log4net_Appender_SmtpPickupDirAppender.html	(from http://logging.apache.org/log4net/release/config-examples.html)
